frame,segment,x-coordinate,y-coordinate,velocity_x,velocity_y
0,1,188,188,-0.005814383,-0.0045758327
0,1,192,188,-0.01759875,-0.008323224
0,1,196,188,-0.017914679,-0.008741473
0,1,200,188,-0.018110886,-0.0089550745
0,1,204,188,-0.018729309,-0.009426875
0,1,208,188,-0.01887119,-0.009593303
0,1,212,188,-0.018563583,-0.009521912
0,1,216,188,-0.018316234,-0.009529321
0,1,220,188,-0.018168785,-0.009538637
0,1,224,188,-0.014368271,-0.011961819
0,1,228,188,-0.0141767375,-0.011892575
0,1,232,188,-0.013784636,-0.011652771
0,1,236,188,-0.013661213,-0.011582113
0,1,240,188,-0.01330281,-0.011295312
0,1,244,188,-0.012619579,-0.01074554
0,1,248,188,-0.011830326,-0.010188918
0,1,252,188,-0.011216602,-0.009874156
0,1,256,188,-0.014196273,-0.006433719
0,1,260,188,-0.012960157,-0.0055736303
0,1,264,188,-0.012109011,-0.004807831
0,1,268,188,-0.011276441,-0.003961646
0,1,272,188,-0.010330319,-0.0030290775
0,1,276,188,-0.009264875,-0.002163258
0,1,280,188,-0.008106193,-0.0013184301
0,1,284,188,-0.007350374,-0.00085406564
0,1,288,188,-0.0058444343,0.0022977574
0,1,292,188,-0.0052388455,0.0033273175
0,1,296,188,-0.0045264885,0.0042446544
0,1,300,188,-0.004454959,0.0052445726
0,1,304,188,-0.0046007875,0.0063349716
0,1,308,188,-0.0042059114,0.0074087144
0,1,312,188,-0.0036946884,0.00832356
0,1,316,188,-0.003500924,0.00904773
0,1,320,188,-0.0138943475,0.017208638
0,1,324,188,-0.014759712,0.018093895
0,1,328,188,-0.015529284,0.018773308
0,1,332,188,-0.016558498,0.01987716
0,1,336,188,-0.017743303,0.021214524
0,1,340,188,-0.018766541,0.022416772
0,1,344,188,-0.019586457,0.023218265
0,1,348,188,-0.020171259,0.023853887
0,1,352,188,-0.01728153,0.037427492
0,1,356,188,-0.01702363,0.038017545
0,1,360,188,-0.016693784,0.038377445
0,1,364,188,-0.01671158,0.039077993
0,1,368,188,-0.01696385,0.03980331
0,1,372,188,-0.017348032,0.04054999
0,1,376,188,-0.017644249,0.04116232
0,1,380,188,-0.018279424,0.041721515
0,1,384,188,-0.027559858,0.02910796
0,1,388,188,-0.026173942,0.027446195
0,1,392,188,-0.024908254,0.025930082
0,1,396,188,-0.02362587,0.024575366
0,1,400,188,-0.022311784,0.023244953
0,1,404,188,-0.021148881,0.02213799
0,2,408,188,-0.019970266,0.021180864
0,2,412,188,-0.018762482,0.020531997
0,2,416,188,-0.015035569,0.061890177
0,2,420,188,-0.014178129,0.06313779
0,2,424,188,-0.013633279,0.064083144
0,2,428,188,-0.013187848,0.06493774
0,2,432,188,-0.01270145,0.06541246
0,2,436,188,-0.012187051,0.0655333
0,2,440,188,-0.011755156,0.06585847
0,2,444,188,-0.011385858,0.06604017
0,2,448,188,-0.009793353,0.07381037
0,2,452,188,-0.009953376,0.07543389
0,2,456,188,-0.010033676,0.07615055
0,2,460,188,-0.010098843,0.07746372
0,2,464,188,-0.010142047,0.07835272
0,2,468,188,-0.010147524,0.07881657
0,2,472,188,-0.010285924,0.079632774
0,2,476,188,-0.010624599,0.08061426
0,2,480,188,-0.018155616,0.12621681
0,2,484,188,-0.018497808,0.12706168
0,2,488,188,-0.018682895,0.12744801
0,2,492,188,-0.018934658,0.12835307
0,2,496,188,-0.019062541,0.12850346
0,2,500,188,-0.019053517,0.12750556
0,2,504,188,-0.01910929,0.1269663
0,2,508,188,-0.019062672,0.12671821
0,2,512,188,-0.028360166,0.115130916
0,2,516,188,-0.029113296,0.11419511
0,2,520,188,-0.029402524,0.1126775
0,2,524,188,-0.029894246,0.11159205
0,2,528,188,-0.029953195,0.11049962
0,2,532,188,-0.02929228,0.10847106
0,2,536,188,-0.029164746,0.10587357
0,2,540,188,-0.029516535,0.10399337
0,2,544,188,-0.032100502,0.09387089
0,2,548,188,-0.031964563,0.09112872
0,2,552,188,-0.031491466,0.088438764
0,2,556,188,-0.03148696,0.08603951
0,2,560,188,-0.031343974,0.08364291
0,2,564,188,-0.030545875,0.080825984
0,2,568,188,-0.029619863,0.07807025
0,2,572,188,-0.028995069,0.076142475
0,2,576,188,-0.018225828,0.048025288
0,2,580,188,-0.017472835,0.047013264
0,2,584,188,-0.016565766,0.04584224
0,2,588,188,-0.015769493,0.044861678
0,2,592,188,-0.014879092,0.043765448
0,2,596,188,-0.0138166845,0.042438272
0,2,600,188,-0.0128335655,0.041315876
0,2,604,188,-0.012176171,0.04062015
0,2,608,188,-0.010171325,0.02749332
0,2,612,188,-0.0098100025,0.02708941
0,2,616,188,-0.009441775,0.026598556
0,2,620,188,-0.009043049,0.026177265
0,2,624,188,-0.008629449,0.025721217
0,3,628,188,-0.008260168,0.025223903
0,3,632,188,-0.008059727,0.02484897
0,3,636,188,-0.007974341,0.024614396
0,3,640,188,-0.002565886,0.020997925
0,3,644,188,-0.0025373364,0.020827932
0,3,648,188,-0.0025086144,0.020543799
0,3,652,188,-0.0024675494,0.020347964
0,3,656,188,-0.002421292,0.0201873
0,3,660,188,-0.0023871243,0.019809235
0,3,664,188,-0.002368441,0.01945924
0,3,668,188,-0.0023591898,0.019159583
0,3,672,188,-0.0026243667,0.02262116
0,3,676,188,-0.0026353963,0.022616383
0,3,680,188,-0.0026465615,0.02263499
0,3,684,188,-0.0026552307,0.022896592
0,3,688,188,-0.002666587,0.023176901
0,3,692,188,-0.0026707193,0.023195388
0,3,696,188,-0.0026748863,0.023086352
0,3,700,188,-0.002676899,0.022885665
0,3,704,188,-0.002408644,0.022826565
0,3,708,188,-0.0024086533,0.022258684
0,3,712,188,-0.0024111024,0.02190222
0,3,716,188,-0.0024228503,0.021785095
0,3,720,188,-0.0024396493,0.021865856
0,3,724,188,-0.002447803,0.021924851
0,3,728,188,-0.0024508277,0.021915955
0,3,732,188,-0.002445506,0.02182089
0,3,736,188,-0.002934026,0.028562242
0,3,740,188,-0.0029278807,0.028444989
0,3,744,188,-0.002931023,0.028473215
0,3,748,188,-0.002933225,0.028255902
0,3,752,188,-0.0029363101,0.027941002
0,3,756,188,-0.0029394068,0.027754162
0,3,760,188,-0.0029417495,0.027545786
0,3,764,188,-0.0029361171,0.027362827
0,3,768,188,-0.002550207,0.02933818
0,3,772,188,-0.002536308,0.0294941
0,3,776,188,-0.0025179381,0.02965263
0,3,780,188,-0.0024984672,0.029621838
0,3,784,188,-0.002488883,0.029641416
0,3,788,188,-0.0024528732,0.0296648
0,3,792,188,-0.0024000264,0.029673997
0,3,796,188,-0.002340251,0.029755808
0,3,800,188,-0.003119088,0.043582577
0,3,804,188,-0.003134534,0.044246316
0,3,808,188,-0.003163506,0.044782087
0,3,812,188,-0.0031613123,0.04514597
0,3,816,188,-0.003139576,0.04538418
0,3,820,188,-0.0031843595,0.046107225
0,3,824,188,-0.0032371464,0.046900902
0,3,828,188,-0.0032584276,0.04747775
0,3,832,188,-0.0041550267,0.045927033
0,3,836,188,-0.0043096235,0.045935232
0,3,840,188,-0.004474786,0.04596356
0,3,844,188,-0.0045938124,0.04594667
0,1,188,192,0.0040834616,-0.0027774791
0,1,192,192,0.006553732,-0.0037228125
0,1,196,192,0.006672809,-0.003722407
